video_id,channel_name,title,duration,duration_sec,short_reason,youtube_watch_url,thumbnail_path,is_short_manual,short_check_note
8rZ2wU3bCS4,김소형채널H,긴장해서 가슴이 마구 두근거린다면? 불안 초조해서 심장이 날뛸때 여기를 지그시 눌러주세요! #불안 #초조 #긴장완화,PT2M10S,130,duration,https://www.youtube.com/watch?v=8rZ2wU3bCS4,thumbnails/김소형채널H/8rZ2wU3bCS4.jpg,,
Eck1MPYLa2M,루이빈치과 류지헌,"근육 빠질때 비싼 소고기 대신 '이걸' 드세요. 60살 이후 몸에 힘 없고 잠못잘때, 찬 몸을 따뜻하게 해주는 기력회복 음식",PT1M27S,87,duration,https://www.youtube.com/watch?v=Eck1MPYLa2M,thumbnails/루이빈치과류지헌/Eck1MPYLa2M.jpg,,
1ALQrc2NniM,루이빈치과 류지헌,"치매 부르는 '이 약' 왜 못끊으세요? 고지혈증 스타틴 부작용, 당뇨에 전신 근육통·기억력 감퇴...뇌졸중·심장마비 예방,재발 방지 보장 못합니다",PT1M46S,106,duration,https://www.youtube.com/watch?v=1ALQrc2NniM,thumbnails/루이빈치과류지헌/1ALQrc2NniM.jpg,,
c53HZWMMvJ4,루이빈치과 류지헌,"""갑상선·골다공증, 옥수수에 속았습니다"" (혈당 오메가 6 주의) 당뇨·비만은 물론 뼈에 좋은 칼슘 흡수 방해해서 뼈가 더 약해지고, 식이섬유 많아서 소화불량도 옵니다",PT1M2S,62,duration,https://www.youtube.com/watch?v=c53HZWMMvJ4,thumbnails/루이빈치과류지헌/c53HZWMMvJ4.jpg,,
rG9d61-5JDQ,루이빈치과 류지헌,"너무 사소해서 안믿는 뇌졸중 전조증상 ""다리가 풀립니다. 팔다리에 힘 빠지고, 구름위 걷는 느낌"" 뇌경색•뇌출혈 예방, 후유증 막는 필살기 생존 전략",PT1M27S,87,duration,https://www.youtube.com/watch?v=rG9d61-5JDQ,thumbnails/루이빈치과류지헌/rG9d61-5JDQ.jpg,,
N18OwEYChQY,무조건당신편,"노년 바나나의 반전 당뇨 있는데 먹어도 될까? 바나나, 그냥 과일 아니다 노년건강 지키는 단 한가지의 습관 #건강정보 #건강지식",PT54S,54,duration,https://www.youtube.com/watch?v=N18OwEYChQY,thumbnails/무조건당신편/N18OwEYChQY.jpg,,
wHNvWBIhbh8,무조건당신편,"아침마다 화장실 힘들다면 화장실 신호, 위에서 시작 노년건강 지키는 단 한가지의 습관 #건강정보 #건강지식",PT41S,41,duration,https://www.youtube.com/watch?v=wHNvWBIhbh8,thumbnails/무조건당신편/wHNvWBIhbh8.jpg,,
GaX6B9TdsJU,이상대 중년 홈트 - 45세 이상 초간단 운동,45세 이후 걷기보다 좋은 1분 운동,PT36S,36,duration,https://www.youtube.com/watch?v=GaX6B9TdsJU,thumbnails/이상대중년홈트-45세이상초간단운동/GaX6B9TdsJU.jpg,,
XxnEtadvUDI,이상대 중년 홈트 - 45세 이상 초간단 운동,집에서 30년 젊어지는 1분 운동,PT29S,29,duration,https://www.youtube.com/watch?v=XxnEtadvUDI,thumbnails/이상대중년홈트-45세이상초간단운동/XxnEtadvUDI.jpg,,
4d3Xrl1embs,이상대 중년 홈트 - 45세 이상 초간단 운동,45세 이후 '이것' 안하면 관절 망가집니다,PT34S,34,duration,https://www.youtube.com/watch?v=4d3Xrl1embs,thumbnails/이상대중년홈트-45세이상초간단운동/4d3Xrl1embs.jpg,,
