channel_name,channel_id,target_age
앙광희,UCmp6jXENvNH-KUgRHNe-H0A,medium
프리미티브의 전래식단 이야기,UCqaSH5Js_s80nIY3P_wqCcg,small
삼보리 명상원,UCrpGdXuJtGZqI8reS52iIZg,small
에스더기도운동,UC-SsCweblwxALNIMkoHCiPQ,large
다이어트하는 사람들,UCq4et6CG5dmP8f0xKJDYQ3g,medium
류영석TV,UCtqzRZGIxJ3vFYcwMCl7HWQ,medium
김훈하의 열방상담소,UCyBpgOlxyqZtb9Rxe6fAjJw,small
긍정닥터,UC-BXTTBjj5j5G_hIjEMyLEQ,medium
우리동네 난임전문의이재호,UC2-LIM5Zz7_wKT4Q2Iu8GTA,small
수와진TV ,UC1nOUSU9iFgJ4vNHoS_spOQ,medium
닥터까막눈,UC-NkfwYT0xOj0HFPctiRvtw,small
권도수,UC2kre6C4AHnLxiHhRlMKx6g,medium
건기남TV,UCzqCV-5wGCu9jyJj1qJ_CHw,medium
가정사건파일,UCctSb7vzR2Vbo1ZTlVPT_jw,small
이성미의 나는 꼰대다,UC4_CjZORO_saInjqd74Y7Sw,medium
꿀서린,UC-YGAXCJEwNcTiEQahOQjVg,small
간들간들,UCHB_MKGzSK_NsfIDnErUJDw,small
안경고수 최병무,UCVACuI_hASpxT4KwQ98Vtdg,medium
청아TV-아토피를 이겨낸 한의사 임은교,UCVkDsPSpnIeMoYuUZ_Gjw_w,small
캔서프리월드(암없는세상),UCTNRWtirVs4VcB4W5xyzITA,small
Dr. 배의 진료실,UCTZpc7F_5WBQlrUMK4DX7ug,small
하이안과TV-안질환 연구소,UCTjIyCaFYg3Mw35Am0v0JHA,small
지식밥상,UCUjimmVTQo9sPl8mL5Y15dg,small
코루쇼,UCLOxiP0uHdpnJx3Orxc2R5A,small
닥터프렌즈,UCVfLNEch9YxD4tX1L-crkMQ,large
브레이너 제이의 숙면 여행,UC5jSCU8FpKGr8P5Z-p-70lw,large
지혜담기,UC-jNukedHn0eyNPu1ACF49A,small
예서니까,UCgIjEp8G3-NVlboQuydlRvg,small
요가소년,UCkTRKCuFrRiXQm_gMG1uDvg,large
진약사톡,UCxA3KmxmYj6arNJJ4N8mJpA,large
동아제약 OFFICIAL,UCCMDP4zxreqQ3v5BAYK6KRg,small
자연드림,UCAcSJWSGz_oeIdKFNn8tI2g,small
유어리아 your ria,UC9KoN-Yb1swVddjsezLegxA,small
이복자챔피언 ,UCMvUCXTPcPEa7mf82Nt02WQ,small
"[대한결핵 및 호흡기학회] 건강한 숨, 행복한 삶",UCNEe0b1NWaZeYXyg238v0lg,small
오체안 TV,UC_2YuQN8sl7yFBj9BN-BVYQ,small
올라운더 장박사 ,UCEu0i8clLZcIIREJTa3HfEA,medium
뮤직힐링테라피 MJ MUSIC HEALING THERAPY,UCFenHjfqkwDFalw73fHvjww,large
김춘식의 시니어라디오,UCja6IeCP44IBnTkgx5xSovA,small
실버건강TV,UCuI--bHbfz94ohBQhCzwhDQ,small
건강지식TV,UCzDs6GlAZsYlGbd_OUBdjmA,medium
의사딸약사아빠,UCsZOzy-7j0uCb2ollAyDdSg,small
응꼬형,UCziD567hCcs0adzB1uaeGUw,small
Inner Healing Music,UCEoZf-AWt-L9m3pPEK6ywzA,small
바둑퀸,UCHDOgUy_a26vyO7jaGn7XmQ,small
매일매일 두뇌퀴즈,UCeuJyafhKHKe905pU0T1P1g,small
민쓰운초 Min's,UCKO29oHODNoM9uAtjk4VlTg,large
테리기자가 만난 베스트닥터,UC9UIlMm5Yk-ZDJIdTzoVYvg,small
조선일보 의학·건강,UCXg2PYJwE1cfhzxxei0DGmw,medium
퀴즈백화점,UCVV33htEnK3wdDLo8nmnLVA,small
삐약이 퀴즈 / Chick Check Quiz,UCp96LDaTTajrILzaOA0wO2w,small
권의시선 : 치과의사 권낙현,UCdRgh9GCeMs8Bo86QMSuiuA,small
해부학적운동,UCTWX1gbz0zKIAdpWaBDudVw,small
줌마Hip,UCvETlb8vZ6c79ehLctLJIbg,small
하루백서,UCGRj74lcFcXF5V_NreIe8mA,small
천의마신 I Dr Glacier I 마취통증의학과 교수,UC9E5K_nlzKfdNqXpEI9ktpg,small
백년청춘,UCUCodQGkYPqph8AS40uy5pA,small
사랑과 생명,UC21OCqYEvXVbYf_n0pwlatQ,small
닥터힐러 최준하,UCMc61QsqMMWWajw7m9kZtFg,small
minimalize scars Korean -lumpdoctor이사부,UCFQtb7VzPKnRisKxAqO1wjw,medium
정신건강의 숲 TV,UCsy_6x53CNBqdB3hMl9i_FQ,small
심밧드,UClyYfaJWHdCcZyg7fKFui-A,small
노후지혜,UCBvHgAwju2EvQnFl12NlVkg,small
건강생활,UCeae_8zNL3z0iDOZyIpAskA,large
Time Medic (타임메딕),UCYqdIlpFlB6uh_cpIYgo85g,small
비만탈출 연구소 - 다이어트 가이드,UCCkj5yY_oT24IXyBtkMUKUA,large
시니어 활력소,UC9v4OXZQEabcGzqfImbITpA,small
피지컬프로 Physical Pro,UC64f2yVYQsU1eILFcf65e7g,small
이명난청완치학교,UCY1mmvLNfLy_q_zBZ7IRsCQ,medium
3분 건강 - 보약 같은 음식 소개,UCj_0hHY38sHNi_AN56UYm8A,small
