channel_name,channel_id,target_age
다이어트하는 사람들,UCq4et6CG5dmP8f0xKJDYQ3g,health
류영석TV,UCtqzRZGIxJ3vFYcwMCl7HWQ,health
김훈하의 열방상담소,UCyBpgOlxyqZtb9Rxe6fAjJw,health
긍정닥터,UC-BXTTBjj5j5G_hIjEMyLEQ,health
우리동네 난임전문의이재호,UC2-LIM5Zz7_wKT4Q2Iu8GTA,health
수와진TV ,UC1nOUSU9iFgJ4vNHoS_spOQ,health
닥터까막눈,UC-NkfwYT0xOj0HFPctiRvtw,health
권도수,UC2kre6C4AHnLxiHhRlMKx6g,health
건기남TV,UCzqCV-5wGCu9jyJj1qJ_CHw,health
가정사건파일,UCctSb7vzR2Vbo1ZTlVPT_jw,health
이성미의 나는 꼰대다,UC4_CjZORO_saInjqd74Y7Sw,health
꿀서린,UC-YGAXCJEwNcTiEQahOQjVg,health
간들간들,UCHB_MKGzSK_NsfIDnErUJDw,health
안경고수 최병무,UCVACuI_hASpxT4KwQ98Vtdg,health
청아TV-아토피를 이겨낸 한의사 임은교,UCVkDsPSpnIeMoYuUZ_Gjw_w,health
캔서프리월드(암없는세상),UCTNRWtirVs4VcB4W5xyzITA,health
Dr. 배의 진료실,UCTZpc7F_5WBQlrUMK4DX7ug,health
하이안과TV-안질환 연구소,UCTjIyCaFYg3Mw35Am0v0JHA,health
지식밥상,UCUjimmVTQo9sPl8mL5Y15dg,health
코루쇼,UCLOxiP0uHdpnJx3Orxc2R5A,health
닥터프렌즈,UCVfLNEch9YxD4tX1L-crkMQ,health
브레이너 제이의 숙면 여행,UC5jSCU8FpKGr8P5Z-p-70lw,health
지혜담기,UC-jNukedHn0eyNPu1ACF49A,health
예서니까,UCgIjEp8G3-NVlboQuydlRvg,health
요가소년,UCkTRKCuFrRiXQm_gMG1uDvg,health
진약사톡,UCxA3KmxmYj6arNJJ4N8mJpA,health
동아제약 OFFICIAL,UCCMDP4zxreqQ3v5BAYK6KRg,health
자연드림,UCAcSJWSGz_oeIdKFNn8tI2g,health
유어리아 your ria,UC9KoN-Yb1swVddjsezLegxA,health
이복자챔피언 ,UCMvUCXTPcPEa7mf82Nt02WQ,health
"[대한결핵 및 호흡기학회] 건강한 숨, 행복한 삶",UCNEe0b1NWaZeYXyg238v0lg,health
오체안 TV,UC_2YuQN8sl7yFBj9BN-BVYQ,health
올라운더 장박사 ,UCEu0i8clLZcIIREJTa3HfEA,health
뮤직힐링테라피 MJ MUSIC HEALING THERAPY,UCFenHjfqkwDFalw73fHvjww,health
김춘식의 시니어라디오,UCja6IeCP44IBnTkgx5xSovA,health
실버건강TV,UCuI--bHbfz94ohBQhCzwhDQ,health
건강지식TV,UCzDs6GlAZsYlGbd_OUBdjmA,health
의사딸약사아빠,UCsZOzy-7j0uCb2ollAyDdSg,health
응꼬형,UCziD567hCcs0adzB1uaeGUw,health
Inner Healing Music,UCEoZf-AWt-L9m3pPEK6ywzA,health
바둑퀸,UCHDOgUy_a26vyO7jaGn7XmQ,health
매일매일 두뇌퀴즈,UCeuJyafhKHKe905pU0T1P1g,health
민쓰운초 Min's,UCKO29oHODNoM9uAtjk4VlTg,health
테리기자가 만난 베스트닥터,UC9UIlMm5Yk-ZDJIdTzoVYvg,health
조선일보 의학·건강,UCXg2PYJwE1cfhzxxei0DGmw,health
퀴즈백화점,UCVV33htEnK3wdDLo8nmnLVA,health
삐약이 퀴즈 / Chick Check Quiz,UCp96LDaTTajrILzaOA0wO2w,health
권의시선 : 치과의사 권낙현,UCdRgh9GCeMs8Bo86QMSuiuA,health
해부학적운동,UCTWX1gbz0zKIAdpWaBDudVw,health
줌마Hip,UCvETlb8vZ6c79ehLctLJIbg,health
하루백서,UCGRj74lcFcXF5V_NreIe8mA,health
천의마신 I Dr Glacier I 마취통증의학과 교수,UC9E5K_nlzKfdNqXpEI9ktpg,health
백년청춘,UCUCodQGkYPqph8AS40uy5pA,health
사랑과 생명,UC21OCqYEvXVbYf_n0pwlatQ,health
닥터힐러 최준하,UCMc61QsqMMWWajw7m9kZtFg,health
minimalize scars Korean -lumpdoctor이사부,UCFQtb7VzPKnRisKxAqO1wjw,health
정신건강의 숲 TV,UCsy_6x53CNBqdB3hMl9i_FQ,health
심밧드,UClyYfaJWHdCcZyg7fKFui-A,health
노후지혜,UCBvHgAwju2EvQnFl12NlVkg,health
건강생활,UCeae_8zNL3z0iDOZyIpAskA,health
Time Medic (타임메딕),UCYqdIlpFlB6uh_cpIYgo85g,health
비만탈출 연구소 - 다이어트 가이드,UCCkj5yY_oT24IXyBtkMUKUA,health
시니어 활력소,UC9v4OXZQEabcGzqfImbITpA,health
피지컬프로 Physical Pro,UC64f2yVYQsU1eILFcf65e7g,health
이명난청완치학교,UCY1mmvLNfLy_q_zBZ7IRsCQ,health
3분 건강 - 보약 같은 음식 소개,UCj_0hHY38sHNi_AN56UYm8A,health
백세지혜 라디오,UCL6Zzbr4z7o--eGUuFTWgJg,health
노후구조대,UComLZm2S10ZrzVbJahBnXqQ,health
하늘마을 힐링센터 TV,UCAjG6hYW3bTQIhNMXRZrrUg,health
피카토 Phycato,UCBaf_e26fqirvbTAX2H40Hg,health
책읽는 헬레네,UCt05Ox0ZndGh3rrDaNMx7RA,health
금단미인 GOLDBEAUTY,UC1JRg1-V2hKxEVzGV5_yrag,health
디어다빈_영양사의 다이어트,UC0NazDJj6HZnqXR9x9HiXEg,health
크고싶은다람쥐,UCxa00N4-xMuNZqPbTfnwYww,health
닥터 코뿔소 Dr. Rhino,UC92kH-aQbWRSLW2fhYwlSEg,health
스튜디오 상상인,UCEqaIYcv-1ES142qB8-xAjw,health
건강산책,UCfYcEPkXbrH7U5UhIA6YPmg,health
흥따Heungdda,UCbuNfuYVnPIRIce8VEzntGw,health
소년간호사,UCMbbDgoXKietxiTP16_3lFg,health
비뇨의학 TV- 이웅희,UCGFMlJcTiThlU379QG1nTJQ,health
닥터쓰리 - 한미일의사의 쉬운 의학,UCkpAw1Z13syiCKj_igxK_xA,health
메디신,UCrZcOEeiGy9aNKTQubd0uxg,health
