channel_name,channel_id,subscribers,avg_daily_views
튼튼백서,UCo0zgbbB9S00lvRUCQDFxyQ,68000,30429
HBS약초방송,UCdRcubzVjtptKPG6nJ773wA,395000,19188
KBS 생로병사의 비밀,UCiV4_cGVt-t-j6jMQ7RCrXw,845000,162339
플러스S맨,UCV9B-O-WMMBqA1LVKnonROA,10200,1737
난임닥터 비커밍,UCmVQQ7fvBU7gmLhC4a3oaNQ,26200,4830
카니비비안 carni_vivien,UCR8J54wOMKVKfuLIECaBFGQ,12000,3373
시니어 닥터 톡스,UC4S5_P35PS22tT4CLVohSfw,19100,1695
뇌똑똑TV,UCQ7-HAZFih8Xi-iFiBL_0hg,20200,1025
안과 전문의 조성원,UC_xOayxX27Zbrqhh3h5-uuw,22700,5002
대교 뉴이프Plus / 뉴플 / Daekyo Newif Plus,UCrxsM1BYjOkGvBl_ic40uLQ,50200,51667
어떤약사,UCpY0_3SqKzxttWPaptnkBfQ,91700,32133
힘찬병원,UCyqvSbrRyaRq1TuRlwVXrzw,119000,52228
나다운 Wellness,UCZdgP1qedWzdm0ybhIz14Fw,44400,166
고쳐줘 NOW,UCGyYH219gPS8hXJmaaZ0DeA,213000,2060
차병원 CHA Medical Center,UCHDoVNV6NkgjuiCyLIMmdqQ,49000,10235
대찬병원,UC8RE8q5jZfXUTw39dot8Sug,27900,2492
미소담한의학의 담적병,UCTLeIrdxl5-_pfV67kpvF3A,13400,1190
건강을 읽어드려요,UCXOgEhSgaJEVv9U5QMEjF8Q,35100,30
Dental Bean,UCXX2GqXsMEXnFRSxewFcGOA,90300,4711
유경쌤의 미소학개론,UCl1wbnBjMxh0Zw38FnAS7ng,37500,5971
톡투건강TV,UCVC21HvJs4W6FclmYr7pFGw,119000,8938
Basant,UCg_s4nYsikIr2X-f3T8JF7g,13200,12707
야생화의신비 Wildflower Mystery,UCF9Ks4KdgTwnA6MuLboQESQ,22800,208
디지털 정원장,UCzoL9iedyHYxsE8mcliAH4g,37000,9229
수와진💗안상진TV,UCDrG6kIO-NiN80sQM8F9roQ,25800,15452
내친구 씽씽이,UC_Z8oaHxlxb95uVofCvg9NQ,19400,8202
매력적인 노년 이야기,UCRf1axswcRFRbFtpR1LqdkA,19100,457
일타치의 임종우,UC65gC-98pIZzVtdHXI1zx7g,17300,2835
의사친[의사사람친구],UC8EMF6H5YOCk-BdNEuYnkbA,244000,82670
효초TV,UCOoLHHnlDOU9yAPs2dcYNVA,514000,48171
비정상토크,UC7PnJvFZMMzzlA_H8f8sE6w,42600,25020
Isla Rune Pilates,UC1ll_4DblySYDARZcbOt3xg,452000,370959
내귀에닥터,UCVYrNBxy9BiRseD5EtZGTng,25800,3976
Dr. Lee Min Soo,UCIPLKPZ1wUNiU2h3zc4iYSw,28300,46595
이웃집닥터,UCuikDblzbJZK2zkC1EDTKgQ,94100,10663
지혜호수,UC0bQR4Ad60pOmNYL8tSX0BA,181000,2561
시니어라디오TV,UCwa7pdbWG2PdpT6jqZc_fKw,47200,12239
모티브성형외과,UCXxA2tZh_noY5OwfruPt5sA,10900,1300
민티런 MintyRun,UCmafuqR6Iya-c0CPMOgApYA,28700,2045
이대영의 새길TV [척추·관절],UCb9w7aVmVpPCS-S2Y6Zf7AA,59800,142029
